Measure,Description
Consistency,
PG_default_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, not weighted by corpus frequency."
PG_default_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, not weighted by corpus frequency."
PG_default_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, not weighted by corpus frequency."
PG_default_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, not weighted by corpus frequency."
PG_default_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, not weighted by corpus frequency."
PG_noposition_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, not weighted by corpus frequency."
PG_noposition_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, not weighted by corpus frequency."
PG_noposition_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, not weighted by corpus frequency."
PG_noposition_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, not weighted by corpus frequency."
PG_noposition_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, not weighted by corpus frequency."
PG_freq_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-constrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_noposition_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_noposition_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_noposition_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_noposition_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, weighted by corpus frequency."
PG_freq_noposition_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-unconstrained phoneme-grapheme units, weighted by corpus frequency."
ONC_default_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_default_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_default_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_default_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_default_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_noposition_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_noposition_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_noposition_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_noposition_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_noposition_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, not weighted by corpus frequency."
ONC_freq_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_PG.min,"The lowest conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_PG.sd,"The standard deviation of the conditional probability of phoneme-to-grapheme mappings for position-constrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_noposition_PG.mean,"The average conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_noposition_PG.median,"The median conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, weighted by corpus frequency."
ONC_freq_noposition_PG.max,"The highest conditional probability of phoneme-to-grapheme mappings for position-unconstrained onset-nucleus-coda units, weighted by corpus frequency."
