"","phoneme","grapheme"
"1","@","a"
"2","@","ai"
"3","@","au"
"4","@","ea"
"5","5","a"
"6","5","ai"
"7","5","ay"
"8","5","ei"
"9","5","eigh"
"10","5","ey"
"11","5","i"
"12","5","ia"
"13","5","ie"
"14","5","igh"
"15","5","oy"
"16","5","uy"
"17","5","y"
"18","5","ae"
"19","O","ao"
"20","O","au"
"21","O","o"
"22","O","ou"
"23","O","ow"
"24","a","a"
"25","a","ah"
"26","a","au"
"27","a","augh"
"28","a","aw"
"29","a","ho"
"30","a","i"
"31","a","o"
"32","a","oa"
"33","a","oh"
"34","a","ow"
"35","b","b"
"36","d","d"
"37","d","dd"
"38","d","ed"
"39","D","th"
"40","G","d"
"41","G","dg"
"42","G","g"
"43","8","a"
"44","8","ae"
"45","8","ai"
"46","8","aigh"
"47","8","ay"
"48","8","e"
"49","8","ea"
"50","8","ei"
"51","8","eigh"
"52","8","ey"
"53","8","ez"
"54","8","ee"
"55","e","a"
"56","e","ai"
"57","e","e"
"58","e","eau"
"59","e","eou"
"60","e","ho"
"61","e","i"
"62","e","ia"
"63","e","o"
"64","e","oi"
"65","e","on"
"66","e","ou"
"67","e","u"
"68","e","ua"
"69","e","y"
"70","E","a"
"71","E","ae"
"72","E","ah"
"73","E","ai"
"74","E","e"
"75","E","ea"
"76","E","ei"
"77","E","eo"
"78","E","u"
"79","f","f"
"80","f","ff"
"81","f","gh"
"82","f","ph"
"83","f","lf"
"84","g","g"
"85","g","gg"
"86","g","gh"
"87","g","gu"
"88","gz","x"
"89","gZ","x"
"90","i","a"
"91","i","e"
"92","i","ea"
"93","i","ee"
"94","i","ei"
"95","i","eo"
"96","i","ey"
"97","i","i"
"98","i","ie"
"99","i","oe"
"100","i","y"
"101","i","ae"
"102","1","a"
"103","1","e"
"104","1","ea"
"105","1","ee"
"106","1","eo"
"107","1","hi"
"108","1","i"
"109","1","o"
"110","1","u"
"111","1","y"
"112","1","ia"
"113","1","ui"
"114","je","u"
"115","je","ua"
"116","ju","eau"
"117","ju","eu"
"118","ju","ew"
"119","ju","u"
"120","ju","ua"
"121","ju","ui"
"122","ju","ou"
"123","jU","u"
"124","k","c"
"125","k","cc"
"126","k","ch"
"127","k","ck"
"128","k","cqu"
"129","k","k"
"130","k","x"
"131","ks","x"
"132","kS","x"
"133","kS","xi"
"134","l","l"
"135","l","ll"
"136","m","lm"
"137","m","m"
"138","m","mb"
"139","m","mn"
"140","m","mp"
"141","n","gn"
"142","n","n"
"143","n","nn"
"144","N","n"
"145","N","nd"
"146","N","ng"
"147","o","au"
"148","o","ew"
"149","o","o"
"150","o","oa"
"151","o","oe"
"152","o","oo"
"153","o","ou"
"154","o","ough"
"155","o","ow"
"156","o","oh"
"157","o","eau"
"158","c","a"
"159","c","au"
"160","c","augh"
"161","c","aw"
"162","c","o"
"163","c","oo"
"164","c","ou"
"165","c","oa"
"166","2","awy"
"167","2","eu"
"168","2","oi"
"169","2","oy"
"170","p","p"
"171","p","pp"
"172","r","lo"
"173","r","o"
"174","r","r"
"175","r","ra"
"176","r","rh"
"177","r","ro"
"178","r","rps"
"179","r","rr"
"180","r","rrh"
"181","r","rt"
"182","s","c"
"183","s","s"
"184","s","ss"
"185","s","st"
"186","s","z"
"187","S","c"
"188","S","s"
"189","S","sh"
"190","t","bt"
"191","t","ct"
"192","t","t"
"193","t","tt"
"194","t","z"
"195","ts","z"
"196","C","ch"
"197","C","tch"
"198","u","eu"
"199","u","ew"
"200","u","ieu"
"201","u","o"
"202","u","oe"
"203","u","oo"
"204","u","ou"
"205","u","ough"
"206","u","u"
"207","u","ue"
"208","u","ui"
"209","u","eau"
"210","u","ewe"
"211","u","uo"
"212","U","eu"
"213","U","o"
"214","U","oo"
"215","U","ou"
"216","U","u"
"217","U","uh"
"218","U","uo"
"219","v","v"
"220","^","a"
"221","^","o"
"222","^","oo"
"223","^","ou"
"224","^","u"
"225","z","es"
"226","z","s"
"227","z","si"
"228","z","sth"
"229","z","zz"
"230","z","z"
"231","Z","g"
"232","Z","s"
"233","Z","sh"
"234","T","th"
