"","phoneme","grapheme"
"1","@","a"
"2","@","a_e"
"3","@","i_e"
"4","5","i"
"5","5","i_e"
"6","O","ou"
"7","a","a"
"8","a","a_e"
"9","a","hau"
"10","a","o"
"11","a","o_e"
"12","b","b"
"13","b","bb"
"14","b","pb"
"15","d","d"
"16","d","dd"
"17","d","dh"
"18","d","ddh"
"19","D","th"
"20","G","d"
"21","G","dg"
"22","G","di"
"23","G","dj"
"24","G","g"
"25","G","gg"
"26","G","gi"
"27","G","j"
"28","8","a"
"29","8","a_e"
"30","8","ai"
"31","8","e"
"32","e","_e"
"33","e","a"
"34","e","a_e"
"35","e","e"
"36","e","e_e"
"37","e","ha"
"38","e","he"
"39","e","hi"
"40","e","i"
"41","e","i_e"
"42","e","ia"
"43","e","o"
"44","e","o_e"
"45","e","ou"
"46","e","u"
"47","e","y"
"48","E","a"
"49","E","a_e"
"50","E","e"
"51","E","e_e"
"52","3","_e"
"53","3","a"
"54","3","e"
"55","3","e_e"
"56","3","i"
"57","3","o"
"58","3","r"
"59","3","u"
"60","f","f"
"61","f","ff"
"62","f","ft"
"63","f","gh"
"64","f","ph"
"65","f","pph"
"66","g","g"
"67","g","gg"
"68","g","gh"
"69","g","gu"
"70","h","h"
"71","h","j"
"72","i","e"
"73","i","e_e"
"74","i","i"
"75","i","i_e"
"76","i","ie"
"77","i","is"
"78","i","y"
"79","i","ee"
"80","1","a"
"81","1","a_e"
"82","1","e"
"83","1","hi"
"84","1","i"
"85","1","i_e"
"86","1","y"
"87","j","i"
"88","j","ill"
"89","j","j"
"90","j","ll"
"91","j","y"
"92","je","ua"
"93","je","u"
"94","j3","u_e"
"95","ju","ua"
"96","ju","u"
"97","ju","u_e"
"98","ju","ue"
"99","k","c"
"100","k","cc"
"101","k","cch"
"102","k","ch"
"103","k","ck"
"104","k","cq"
"105","k","cqu"
"106","k","k"
"107","k","kk"
"108","k","lk"
"109","k","q"
"110","k","qu"
"111","l","l"
"112","l","ll"
"113","l","sl"
"114","m","lm"
"115","m","m"
"116","m","mb"
"117","m","mm"
"118","m","mn"
"119","n","gn"
"120","n","kn"
"121","n","n"
"122","n","nh"
"123","n","nn"
"124","nj","gn"
"125","nj","n"
"126","nj","nh"
"127","o","o"
"128","o","o_e"
"129","o","ough"
"130","o","ow"
"131","c","hau"
"132","c","o"
"133","c","a"
"134","p","bp"
"135","p","p"
"136","p","pp"
"137","r","r"
"138","r","rr"
"139","r","rrh"
"140","r","wr"
"141","s","c"
"142","s","cs"
"143","s","s"
"144","s","sc"
"145","s","ss"
"146","s","st"
"147","s","sth"
"148","s","sw"
"149","s","tz"
"150","s","z"
"151","S","c"
"152","S","ch"
"153","S","chs"
"154","S","ci"
"155","S","s"
"156","S","sc"
"157","S","sch"
"158","S","sci"
"159","S","sh"
"160","S","shi"
"161","S","si"
"162","S","ss"
"163","S","ssi"
"164","S","t"
"165","S","ti"
"166","S","xi"
"167","t","bt"
"168","t","ct"
"169","t","t"
"170","t","th"
"171","t","tt"
"172","C","c"
"173","C","cc"
"174","C","ch"
"175","C","t"
"176","C","tch"
"177","C","ti"
"178","C","tzsch"
"179","2","oi"
"180","u","oo"
"181","u","u"
"182","U","u"
"183","v","v"
"184","v","vv"
"185","v","ph"
"186","^","u"
"187","^","o"
"188","w","ju"
"189","w","o"
"190","w","u"
"191","w","w"
"192","w","wh"
"193","w","hu"
"194","z","s"
"195","z","ss"
"196","z","x"
"197","z","z"
"198","z","zz"
"199","Z","g"
"200","Z","j"
"201","Z","s"
"202","Z","si"
"203","Z","z"
"204","Z","ti"
"205","T","th"
"206","T","tth"
