"","phoneme","grapheme"
"1","@","a"
"2","@","eah"
"3","@","aa"
"4","5","ai"
"5","5","eye"
"6","5","i"
"7","5","ie"
"8","5","igh"
"9","5","uy"
"10","5","y"
"11","5","ye"
"12","O","ao"
"13","O","au"
"14","O","ou"
"15","O","ough"
"16","O","ow"
"17","O","owe"
"18","a","a"
"19","a","ah"
"20","a","aw"
"21","a","as"
"22","a","aa"
"23","a","i"
"24","a","is"
"25","b","b"
"26","b","bb"
"27","b","br"
"28","d","d"
"29","d","dd"
"30","d","ed"
"31","d","ld"
"32","D","th"
"33","G","d"
"34","G","dg"
"35","G","g"
"36","8","ae"
"37","8","ah"
"38","8","ay"
"39","8","e"
"40","8","ea"
"41","8","ee"
"42","8","ei"
"43","8","eigh"
"44","8","er"
"45","8","et"
"46","8","ey"
"47","8","ez"
"48","8","ie"
"49","e","a"
"50","e","ah"
"51","e","e"
"52","e","ea"
"53","e","ia"
"54","e","i"
"55","e","o"
"56","E","eh"
"57","f","f"
"58","f","ff"
"59","f","gh"
"60","f","lf"
"61","f","ph"
"62","g","g"
"63","g","gg"
"64","g","gh"
"65","g","gu"
"66","i","a"
"67","i","ae"
"68","i","ay"
"69","i","e"
"70","i","ea"
"71","i","ee"
"72","i","ey"
"73","i","i"
"74","i","ie"
"75","i","is"
"76","i","it"
"77","i","y"
"78","ju","eue"
"79","ju","ew"
"80","ju","u"
"81","ju","ue"
"82","ju","ugh"
"83","ju","ut"
"84","ju","ieu"
"85","k","c"
"86","k","ch"
"87","k","ck"
"88","k","k"
"89","k","lk"
"90","k","qu"
"91","k","q"
"92","ks","x"
"93","l","l"
"94","l","ll"
"95","l","sl"
"96","m","gm"
"97","m","lm"
"98","m","m"
"99","m","mb"
"100","m","mm"
"101","m","mn"
"102","n","gn"
"103","n","ln"
"104","n","n"
"105","n","nn"
"106","N","ng"
"107","N","ngh"
"108","N","ngu"
"109","o","aoh"
"110","o","aux"
"111","o","eau"
"112","o","eaux"
"113","o","ew"
"114","o","o"
"115","o","oa"
"116","o","oe"
"117","o","os"
"118","o","ot"
"119","o","ough"
"120","o","ow"
"121","o","owe"
"122","c","ah"
"123","c","aw"
"124","2","oi"
"125","2","ois"
"126","2","oy"
"127","p","gh"
"128","p","p"
"129","p","pp"
"130","r","r"
"131","r","rps"
"132","r","rr"
"133","r","rrh"
"134","r","rs"
"135","s","c"
"136","s","es"
"137","s","s"
"138","s","sc"
"139","s","ss"
"140","s","tz"
"141","s","z"
"142","S","c"
"143","S","ch"
"144","S","sch"
"145","S","sh"
"146","t","bt"
"147","t","ct"
"148","t","d"
"149","t","dt"
"150","t","ed"
"151","t","pt"
"152","t","t"
"153","t","tt"
"154","C","ch"
"155","C","tch"
"156","u","ew"
"157","u","ioux"
"158","u","o"
"159","u","oe"
"160","u","oo"
"161","u","ooh"
"162","u","ou"
"163","u","ough"
"164","u","oup"
"165","u","ous"
"166","u","u"
"167","u","ue"
"168","u","wo"
"169","u","ieu"
"170","U","ow"
"171","v","f"
"172","v","lv"
"173","v","v"
"174","^","uh"
"175","z","ds"
"176","z","es"
"177","z","s"
"178","z","ts"
"179","z","z"
"180","z","zz"
"181","Z","g"
"182","Z","j"
"183","T","th"
