"","phoneme","grapheme"
"1","@","a"
"2","@","a_e"
"3","@","au"
"4","5","ai_e"
"5","5","ay"
"6","5","aye"
"7","5","ei"
"8","5","eye"
"9","5","i"
"10","5","i_e"
"11","O","ho"
"12","O","hou"
"13","O","o"
"14","O","ou"
"15","O","ou_e"
"16","O","ow"
"17","O","au"
"18","a","a"
"19","a","a_e"
"20","a","aa"
"21","a","aah"
"22","a","ah"
"23","a","au"
"24","a","aw"
"25","a","e"
"26","a","ha"
"27","a","ho"
"28","a","o"
"29","a","o_e"
"30","a","ou"
"31","a","awe"
"32","b","b"
"33","d","d"
"34","D","th"
"35","G","g"
"36","G","j"
"37","8","a"
"38","8","a_e"
"39","8","ae"
"40","8","ai"
"41","8","ai_e"
"42","8","ay"
"43","8","e"
"44","8","eigh"
"45","e","a"
"46","e","au"
"47","e","e"
"48","e","o"
"49","e","u"
"50","E","a"
"51","E","aa"
"52","E","ae"
"53","E","ai"
"54","E","e"
"55","E","e_e"
"56","E","hei"
"57","E","oe"
"58","3","a"
"59","3","e"
"60","3","ea"
"61","3","he"
"62","3","i"
"63","3","o"
"64","3","u"
"65","3","u_e"
"66","f","f"
"67","f","ph"
"68","g","g"
"69","g","gh"
"70","g","gu"
"71","h","h"
"72","h","wh"
"73","h","j"
"74","i","e"
"75","i","e_e"
"76","i","ea"
"77","i","ea_e"
"78","i","ee"
"79","i","ei"
"80","i","oe"
"81","1","e"
"82","1","ea"
"83","1","ee"
"84","1","i"
"85","1","i_e"
"86","1","y"
"87","j","y"
"88","ju","eu"
"89","ju","ewe"
"90","ju","hu"
"91","ju","u"
"92","ju","u_e"
"93","ju","ew"
"94","jU","eu"
"95","jU","u"
"96","k","c"
"97","k","ch"
"98","k","k"
"99","k","kh"
"100","k","q"
"101","k","qu"
"102","l","l"
"103","l","ll"
"104","m","m"
"105","n","gn"
"106","n","kn"
"107","n","mn"
"108","n","n"
"109","n","pn"
"110","o","o"
"111","o","o_e"
"112","o","oa"
"113","o","oh"
"114","o","ow"
"115","o","owe"
"116","c","a"
"117","c","au"
"118","c","aw"
"119","c","awe"
"120","c","ho"
"121","c","o"
"122","c","o_e"
"123","c","oa"
"124","c","ough"
"125","2","oi"
"126","2","oy"
"127","p","p"
"128","r","r"
"129","r","rh"
"130","r","wr"
"131","s","c"
"132","s","ps"
"133","s","s"
"134","s","sc"
"135","s","sw"
"136","s","ts"
"137","s","x"
"138","S","ch"
"139","S","s"
"140","S","sch"
"141","S","sh"
"142","S","shh"
"143","S","x"
"144","t","pt"
"145","t","t"
"146","t","th"
"147","C","c"
"148","C","ch"
"149","C","ci"
"150","C","cz"
"151","u","oeu"
"152","u","oo"
"153","u","oo_e"
"154","u","ooh"
"155","u","u"
"156","v","v"
"157","^","o"
"158","^","u"
"159","^","uh"
"160","w","ju"
"161","w","o"
"162","w","ou"
"163","w","w"
"164","w","wh"
"165","z","cs"
"166","z","cz"
"167","z","ts"
"168","z","tz"
"169","z","x"
"170","z","z"
"171","Z","g"
"172","T","th"
