spelling,pp_mean,pp_min,pp_freq_mean,pp_freq_min
a,1,1,1,1
aah,1,1,1,1
aardvark,1,1,1,1
aaron,0.998381889,0.99469496,0.998100358,0.993783302
ab,1,1,1,1
abacus,1,1,1,1
abandon,0.999398332,0.997647059,0.999329412,0.997360437
abandoned,0.879496356,0.527725857,0.880691173,0.534759267
abandoning,0.999340701,0.997647059,0.999172382,0.997360437
abandonment,0.999400637,0.997647059,0.99924762,0.997360437
abbey,0.990045249,0.950226244,0.987426446,0.937132231
abbot,0.983759398,0.947368421,0.986731799,0.957508128
abbott,1,1,1,1
abby,1,1,1,1
abdomen,1,1,1,1
abdominal,1,1,1,1
abducted,0.809400194,0.426199262,0.804921108,0.416936063
abduction,0.886909263,0.459394904,0.887873211,0.461900229
abductions,0.897980205,0.459394904,0.898727684,0.461900229
abel,1,1,1,1
abide,0.889427084,0.463788301,0.890099141,0.465679338
abigail,0.999585921,0.997101449,0.999712972,0.997990803
abilene,0.805725708,0.15098242,0.806894876,0.15959768
abilities,0.892232361,0.618955513,0.891525829,0.612856026
ability,1,1,1,1
able,0.909936016,0.7,0.892139011,0.639839435
abner,0.999812559,0.999062793,0.999848692,0.999243461
abnormal,0.999601911,0.996815287,0.999621346,0.996970765
aboard,0.989638319,0.963636364,0.990735871,0.967536801
abominable,0.928483032,0.586979167,0.923638083,0.574030007
abomination,0.892445154,0.357501795,0.893200628,0.363306678
abort,0.999363057,0.996815287,0.999394153,0.996970765
abortion,0.850705934,0.357501795,0.851626897,0.363306678
about,0.995094209,0.98630137,0.995597597,0.987036667
above,0.859002964,0.356957649,0.864301529,0.372769637
abracadabra,1,1,1,1
abraham,0.904761905,0.75,0.88114662,0.692199623
abrasions,0.82712164,0.173366834,0.82841771,0.179955561
abroad,0.995234672,0.974193548,0.995599485,0.976878423
abrupt,0.989202369,0.965517241,0.987842932,0.961145884
abruptly,0.998831776,0.990654206,0.998721117,0.989768939
abs,1,1,1,1
absence,0.865723426,0.15098242,0.865179086,0.15959768
absent,1,1,1,1
absolute,0.922064872,0.405365127,0.92455946,0.425509855
absolutely,0.848491058,0.079545455,0.850702703,0.081517179
absolution,0.88168967,0.357501795,0.882520691,0.363306678
absorb,0.999469214,0.996815287,0.999495128,0.996970765
absorbed,0.843071118,0.527725857,0.843131696,0.534759267
abstain,0.985450029,0.942664418,0.985235084,0.941239154
abstinence,0.86414041,0.536211699,0.865803081,0.534320662
abstract,0.984853316,0.942664418,0.985367725,0.941239154
absurd,1,1,1,1
abundance,0.931045653,0.413020833,0.932788154,0.425969993
abuse,0.878634001,0.405365127,0.883028014,0.425509855
abused,0.782693578,0.527725857,0.782052225,0.534759267
abusing,0.936217703,0.726890756,0.934379793,0.720614111
abusive,0.913764966,0.583333333,0.910323283,0.5649785
abyss,1,1,1,1
academic,0.908619746,0.586979167,0.906462013,0.574030007
academy,0.895565424,0.586979167,0.893099444,0.574030007
acapulco,1,1,1,1
accelerando,0.837943051,0.340101523,0.837035028,0.351060408
accelerate,0.758360802,0.340101523,0.758897761,0.351060408
accelerated,0.700639801,0.340101523,0.69711693,0.351060408
accelerating,0.783724045,0.340101523,0.782239376,0.351060408
acceleration,0.753206828,0.340101523,0.753107194,0.351060408
accelerator,0.83832593,0.340101523,0.837461766,0.351060408
accent,0.780033841,0.340101523,0.783686803,0.351060408
accents,0.811457578,0.340101523,0.814588688,0.351060408
accept,0.769236209,0.340101523,0.771529735,0.351060408
acceptable,0.790591382,0.340101523,0.786540281,0.351060408
acceptance,0.800470605,0.340101523,0.802880949,0.351060408
accepted,0.67107181,0.340101523,0.668950138,0.351060408
accepting,0.756020755,0.340101523,0.755979453,0.351060408
accepts,0.786312941,0.340101523,0.787349044,0.351060408
access,0.780033841,0.340101523,0.783686803,0.351060408
accessed,0.796370829,0.340101523,0.798316792,0.351060408
accessible,0.75683547,0.340101523,0.756894386,0.351060408
accessing,0.778809598,0.340101523,0.778891968,0.351060408
accessories,0.877622579,0.340101523,0.877520094,0.351060408
accessory,0.918472814,0.340101523,0.9184091,0.351060408
accident,0.821867486,0.340101523,0.823607839,0.351060408
accidental,0.793070046,0.340101523,0.794643954,0.351060408
accidentally,0.827004048,0.340101523,0.82831653,0.351060408
accidents,0.841659988,0.340101523,0.843206968,0.351060408
accolade,0.837871698,0.413020833,0.837196693,0.425969993
accommodate,0.878512538,0.413020833,0.878128549,0.425969993
accommodation,0.855270141,0.357501795,0.854440212,0.363306678
accommodations,0.865437894,0.357501795,0.864581478,0.363306678
accompanied,0.86915533,0.472274143,0.867027548,0.465240733
