"syllable","level","token_freq","type_freq","spelling_consistency","reading_consistency","word"
"an","grapheme",9,9,NA,NA,"animated"
"ed","grapheme",6,6,0.5,0.5,"animated"
"i","grapheme",58,58,0.594594594594595,0.388888888888889,"animated"
"mat","grapheme",2,2,NA,NA,"animated"
"ask","grapheme",1,1,NA,NA,"ask"
"a","grapheme",62,62,0.583333333333333,0.407407407407407,"asleep"
"sleep","grapheme",1,1,NA,NA,"asleep"
"a","grapheme",62,62,0.583333333333333,0.407407407407407,"asylum"
"lum","grapheme",1,1,NA,NA,"asylum"
"sy","grapheme",2,2,NA,NA,"asylum"
"beat","grapheme",1,1,NA,NA,"beaten"
"en","grapheme",9,9,NA,NA,"beaten"
"blank","grapheme",1,1,NA,NA,"blank"
"blast","grapheme",1,1,NA,NA,"blast"
"bone","grapheme",1,1,NA,NA,"bone"
"breathe","grapheme",1,1,NA,NA,"breathe"
"breed","grapheme",1,1,NA,NA,"breed"
