"syllable","level","token_freq","type_freq","spelling_consistency","reading_consistency","word"
"æ-a n-n","pg",0,0,NA,NA,"animated"
"ɪ-i","pg",0,0,NA,NA,"animated"
"meɪ-mat","pg",0,0,NA,NA,"animated"
"t-t ɪ-e d-ed","pg",0,0,NA,NA,"animated"
"æ-a s-s k-k","pg",0,0,NA,NA,"ask"
"ə-a","pg",0,0,NA,NA,"asleep"
"slip-sleep","pg",0,0,NA,NA,"asleep"
"ə-a","pg",0,0,NA,NA,"asylum"
"ləm-lum","pg",0,0,NA,NA,"asylum"
"saɪ-sy","pg",0,0,NA,NA,"asylum"
"b-b i-ea","pg",0,0,NA,NA,"beaten"
"t-t ə-e n-n","pg",0,0,NA,NA,"beaten"
"b-b l-l æ-a ŋ-n k-k","pg",0,0,NA,NA,"blank"
"b-b l-l æ-a s-s t-t","pg",0,0,NA,NA,"blast"
"b-b o-o n-n e-e","pg",0,0,NA,NA,"bone"
"b-b r-r i-ea ð-th e-e","pg",0,0,NA,NA,"breathe"
"b-b r-r i-ea d-d","pg",0,0,NA,NA,"breed"
