"syllable","level","token_freq","type_freq","spelling_consistency","reading_consistency","word"
"æn","phoneme",0,0,NA,NA,"animated"
"ɪ","phoneme",0,0,NA,NA,"animated"
"meɪ","phoneme",0,0,NA,NA,"animated"
"tɪd","phoneme",0,0,NA,NA,"animated"
"æsk","phoneme",0,0,NA,NA,"ask"
"ə","phoneme",0,0,NA,NA,"asleep"
"slip","phoneme",1,1,NA,NA,"asleep"
"ə","phoneme",0,0,NA,NA,"asylum"
"ləm","phoneme",0,0,NA,NA,"asylum"
"saɪ","phoneme",0,0,NA,NA,"asylum"
"bi","phoneme",2,2,NA,NA,"beaten"
"tən","phoneme",0,0,NA,NA,"beaten"
"blæŋk","phoneme",0,0,NA,NA,"blank"
"blæst","phoneme",0,0,NA,NA,"blast"
"boʊn","phoneme",0,0,NA,NA,"bone"
"briːð","phoneme",0,0,NA,NA,"breathe"
"briːd","phoneme",0,0,NA,NA,"breed"
